"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$204,291,731,983","3.01%","17.02","3.96","5.06","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$200,053,197,543","1.33%","31.50","3.53","9.79","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$199,797,913,499","2.06%","28.15","8.41","-33.43","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$199,032,282,354","0.35%","31.76","6.57","4.31","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$188,439,585,136","0.00%","67.36","2.34","2.70","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$187,573,666,930","1.74%","24.36","4.21","5.32","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$182,713,038,559","2.27%","9.26","2.36","1.00","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$178,422,664,635","0.00%","67.80","2.33","1.98","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$171,116,400,000","1.11%","28.34","3.65","11.70","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$170,688,152,657","2.66%","27.51","3.63","5.45","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$168,312,761,324","1.99%","115.78","10.37","4.70","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$166,348,824,927","1.35%","41.48","5.24","3.88","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$164,100,922,117","3.14%","15.29","1.66","10.67","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$163,780,391,148","2.57%","19.62","8.64","11.49","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$163,708,884,084","6.46%","7.52","1.22","1.92","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$160,357,957,000","0.00%","33.22","9.93","11.64","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$160,250,000,000","0.00%","101.80","6.05","2.53","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$158,063,652,648","2.87%","10.99","1.32","1.67","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$157,298,483,626","3.13%","11.13","2.83","1.53","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$154,508,663,739","4.94%","17.64","4.89","-15.73","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$153,902,237,362","3.57%","11.93","2.86","3.12","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$152,817,084,598","2.68%","26.70","5.81","166.83","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$149,879,902,180","1.01%","28.27","8.11","3.09","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$147,608,346,036","1.79%","28.12","4.30","8.04","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$145,124,399,708","2.17%","34.87","2.24","2.02","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$141,795,290,000","2.30%","12.74","3.61","10.67","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$137,466,400,000","6.21%","7.98","0.84","0.73","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$134,981,628,794","0.00%","27.97","4.44","7.98","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$134,624,415,451","4.35%","24.43","2.50","7.08","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$133,866,948,995","2.14%","16.70","0.45","1.81","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$133,676,137,944","2.26%","19.49","5.90","11.16","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$133,102,456,830","0.98%","23.63","3.02","7.05","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$131,929,905,516","1.73%","15.88","1.38","-19.45","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$130,763,746,156","2.31%","7.12","2.45","1.13","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$127,901,169,846","0.93%","0.00","0.00","0.00","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$127,155,666,108","2.33%","20.41","1.93","12.67","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$125,167,208,856","0.00%","36.89","6.63","2.26","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$124,098,890,000","4.77%","5.04","1.60","1.20","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$123,029,975,616","1.94%","18.88","2.34","7.19","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$117,756,400,563","1.26%","15.07","2.62","5.26","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$117,482,400,000","0.94%","34.46","13.55","3.04","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$117,305,160,000","1.93%","26.92","3.74","-13.53","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$114,887,343,982","0.69%","52.89","10.07","7.37","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$110,160,236,906","3.24%","24.40","4.01","5.53","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$109,572,606,904","1.56%","38.29","6.94","26.13","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$108,729,425,585","2.52%","29.08","22.51","3.16","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$107,540,033,132","2.61%","17.67","5.47","2.89","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$106,220,941,911","0.00%","-21.37","1.74","-6.78","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$105,056,275,963","3.28%","21.44","3.31","2.00","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$103,015,239,664","2.55%","39.11","10.45","19.21","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$100,554,501,026","1.32%","18.36","0.57","2.15","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$95,551,653,882","0.00%","46.89","16.18","7.90","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$94,289,907,719","0.93%","13.96","3.80","8.14","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$93,936,679,996","0.37%","-18.71","1.27","2.39","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$93,763,047,146","4.15%","5.39","1.31","0.47","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$92,942,289,528","1.42%","30.01","1.78","15.42","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$92,329,467,326","2.10%","22.17","3.16","3.30","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$91,140,889,668","1.48%","11.03","2.24","1.60","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$89,389,574,466","0.00%","25.00","3.46","4.35","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$88,510,976,094","1.18%","45.22","5.08","6.06","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$87,553,065,217","1.72%","53.31","8.98","2.36","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$85,898,926,249","1.29%","26.56","4.23","7.85","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$84,153,451,000","1.04%","24.67","4.65","13.46","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$84,092,600,000","0.00%","384.92","13.44","21.51","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$83,479,400,546","7.58%","28.02","3.97","-47.87","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$83,368,191,167","2.06%","18.86","3.72","3.83","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$82,079,813,673","1.26%","14.16","2.32","6.14","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$81,217,175,413","0.00%","33.59","10.22","7.55","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$80,660,592,877","0.00%","155.12","6.45","18.45","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$80,494,884,191","0.00%","10.27","4.88","4.09","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$77,316,962,441","1.43%","35.59","1.61","4.50","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$76,952,372,806","3.93%","20.94","2.95","1.56","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$76,896,077,594","2.34%","12.97","0.72","7.05","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$73,637,830,086","3.93%","32.19","3.09","2.26","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$73,097,579,101","0.92%","35.08","3.09","4.78","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$71,840,337,309","0.84%","35.22","9.10","15.67","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$70,656,920,227","1.37%","38.84","3.53","2.90","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$69,875,685,631","2.16%","26.02","4.71","19.51","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$69,629,025,003","4.65%","12.44","1.97","4.66","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$69,617,514,868","0.56%","22.87","0.81","4.53","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$69,293,412,267","1.95%","21.12","1.80","3.84","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$68,845,218,541","1.50%","36.10","3.73","9.64","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$68,813,949,565","2.03%","30.98","6.04","4.96","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$68,727,741,351","1.22%","17.47","5.24","5.21","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$67,914,205,674","0.90%","9.91","1.14","-33.16","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$67,862,460,493","3.37%","13.22","3.45","1.35","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$67,581,186,302","0.00%","4.76","2.99","4.08","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$67,441,528,030","4.03%","9.77","2.95","1.32","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$66,271,530,011","0.00%","39.01","3.99","2.12","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$65,004,065,000","1.97%","29.29","3.29","3.91","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$64,840,731,736","0.00%","87.73","5.33","3.95","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$64,712,396,991","2.38%","31.77","3.70","202.30","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$64,573,356,399","0.96%","35.72","3.18","29.18","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$64,422,870,740","1.31%","14.19","3.85","10.69","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$63,911,449,125","1.78%","130.09","9.43","5.84","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$63,768,623,110","0.71%","45.93","5.17","53.26","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$63,491,458,794","2.19%","23.07","13.27","2.29","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$63,160,444,214","0.57%","9.56","2.18","2.51","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$62,675,268,868","0.74%","6.69","2.01","1.26","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$62,105,929,941","4.20%","10.18","2.81","0.94","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$61,245,978,781","4.10%","42.06","9.28","7.64","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$60,913,006,832","0.00%","12.06","1.16","5.05","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$60,496,726,504","1.35%","15.04","6.58","2.70","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$60,179,295,924","2.55%","9.02","0.91","1.11","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$59,383,395,635","1.92%","19.56","5.20","4.41","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$57,875,142,340","0.64%","23.39","6.98","3.25","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$57,674,179,671","0.81%","22.22","1.69","8.51","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$57,623,461,681","0.22%","6.49","0.44","0.93","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$57,099,900,870","10.80%","13.79","2.73","2.44","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$57,087,576,068","2.03%","5.21","0.42","2.35","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$56,887,222,202","0.94%","11.06","2.31","3.80","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$56,638,378,000","2.13%","19.73","3.00","5.35","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$55,716,560,260","1.19%","17.69","6.44","13.66","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$54,900,024,120","3.55%","4.81","0.40","1.24","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$54,766,438,042","1.96%","22.76","4.26","2.15","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$54,643,064,000","0.93%","28.38","8.90","23.42","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$54,119,735,446","0.53%","48.33","0.21","-23.70","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$54,099,378,096","0.00%","25.01","4.00","-163.40","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$53,666,547,930","0.00%","39.71","9.23","7.85","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$53,560,087,133","1.63%","16.32","0.60","2.11","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$52,339,825,010","0.60%","35.16","3.33","29.51","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$52,333,214,088","2.58%","27.68","14.45","5.35","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$52,239,061,597","2.70%","52.99","3.89","9.10","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$51,919,517,742","0.00%","54.25","10.91","9.83","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$51,513,620,406","2.90%","20.06","0.39","2.70","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$51,252,237,178","3.48%","20.04","0.41","2.34","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$50,921,447,778","4.26%","16.93","3.54","1.73","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$50,628,590,945","2.44%","22.03","2.72","5.03","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$49,742,004,030","3.23%","18.93","2.91","902.76","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$49,292,906,276","0.00%","9.74","0.37","1.79","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$48,953,097,654","0.00%","20.12","3.14","-15.45","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$48,228,663,600","1.64%","29.44","5.16","16.31","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$48,201,001,953","4.00%","39.35","1.88","0.97","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$47,985,282,720","0.86%","27.47","2.98","1.84","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$47,863,453,852","0.99%","28.53","4.18","7.49","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$47,760,623,548","0.00%","31.17","8.92","8.20","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$47,417,250,498","2.07%","9.15","0.52","1.91","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information Technology","$47,193,324,640","0.00%","63.42","14.96","17.10","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$46,891,599,255","0.91%","38.84","6.16","14.24","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$46,889,468,431","2.01%","4.81","0.88","0.84","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$46,545,185,980","0.56%","16.35","7.64","3.48","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$45,880,367,539","0.54%","38.36","7.12","8.97","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$45,774,052,709","3.36%","26.30","2.31","65.39","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$45,624,606,385","2.07%","37.20","1.85","2.78","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$45,566,274,134","1.75%","29.61","3.92","6.91","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$45,512,713,490","1.15%","35.84","5.49","-143.81","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$45,101,140,380","0.00%","65.87","5.76","21.12","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$44,914,094,775","0.00%","212.16","17.46","20.52","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$44,791,524,000","4.73%","12.45","3.21","4.80","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$44,725,251,121","2.20%","11.00","2.10","1.51","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$44,700,486,790","2.42%","33.38","9.94","13.81","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$44,481,503,720","1.89%","11.29","1.26","1.74","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$44,368,671,342","0.95%","61.05","5.62","7.01","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$44,015,770,375","1.34%","32.80","3.77","4.92","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$43,944,908,459","0.00%","30.31","4.06","3.91","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$43,840,458,674","2.20%","43.61","0.67","33.00","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$43,592,734,744","0.00%","87.71","9.94","51.34","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$43,575,737,947","0.00%","263.18","28.64","131.66","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$43,555,189,745","1.45%","33.51","6.39","7.31","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$43,236,666,689","1.96%","23.16","2.49","2.23","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$43,067,480,916","2.46%","47.72","3.04","0.92","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$42,976,828,398","5.64%","41.31","2.74","1.41","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$42,675,788,230","1.35%","39.05","3.25","6.11","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$42,566,265,409","0.00%","45.79","13.48","10.28","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$42,276,392,032","4.77%","28.98","3.87","3.76","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$41,980,352,400","1.01%","43.71","4.96","4.68","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$41,530,506,345","0.00%","65.09","11.58","190.77","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$41,491,124,560","1.22%","96.58","4.70","3.56","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$41,111,107,781","3.22%","15.86","1.29","1.75","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$41,091,427,752","1.45%","28.33","2.84","6.84","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$40,838,880,029","1.03%","36.02","2.15","10.09","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$40,605,155,440","0.90%","55.03","19.11","-47.42","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$40,495,039,814","0.00%","37.97","2.89","6.92","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$40,187,160,000","4.37%","8.31","0.60","0.91","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$40,009,118,606","1.72%","16.09","2.58","3.85","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$39,554,594,013","4.61%","85.10","16.18","1.54","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$39,406,560,573","2.29%","3.43","1.25","0.67","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$39,050,405,277","5.52%","17.47","7.55","11.95","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$38,572,437,145","0.32%","52.72","5.81","-55.14","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$38,468,729,315","1.32%","4.80","0.96","2.52","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$38,427,789,389","2.71%","23.78","2.82","2.44","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$38,385,609,225","1.66%","22.57","2.46","4.26","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$37,678,777,561","4.56%","36.54","3.05","1.80","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$37,100,049,659","3.06%","10.90","2.37","0.88","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$37,063,110,345","1.35%","14.13","1.80","5.29","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$36,832,063,868","1.31%","18.48","1.53","3.03","Analyze"
