コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
264A,Ｓｃｈｏｏ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
2652,まんだらけ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2653,イオン九州,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2654,アスモ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2656,ベクターホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2659,サンエー,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
265A,Ｈｍｃｏｍｍ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
2664,カワチ薬品,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
2666,オートウェーブ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2667,イメージ　ワン,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2668,タビオ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2669,カネ美食品,スタンダード（内国株式）,6100,小売業,14,小売,-,-
266A,グローカルマーケティング,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
2670,エービーシー・マート,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
2673,夢みつけ隊,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2674,ハードオフコーポレーション,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
2676,高千穂交易,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
2678,アスクル,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
267A,トワライズ,PRO Market,7200,その他金融業,16,金融（除く銀行）,-,-
2681,ゲオホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
2683,魚喜,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2685,アダストリア,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
2686,ジーフット,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2687,シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2689,オルバヘルスケアホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
268A,リガク・ホールディングス,プライム（内国株式）,3750,精密機器,9,電機・精密,7,TOPIX Small 2
2692,伊藤忠食品,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
2693,ＹＫＴ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2694,焼肉坂井ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2695,くら寿司,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
2698,キャンドゥ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
269A,Ｓａｐｅｅｔ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
2700,木徳神糧,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2702,日本マクドナルドホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2705,大戸屋ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2708,久世,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
271A,アクセリア,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
2721,ジェイホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2722,ＩＫホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2726,パルグループホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
2730,エディオン,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
2733,あらた,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
2734,サーラコーポレーション,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
2735,ワッツ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2736,フェスタリアホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2737,トーメンデバイス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
273A,ＳＢＩ　サウジアラビア株式上場投信,ETF・ETN,-,-,-,-,-,-
2742,ハローズ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
2743,ピクセルカンパニーズ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2747,北雄ラッキー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2749,ＪＰホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
274A,ガーデン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2750,石光商事,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2751,テンポスホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2752,フジオフードグループ本社,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
2753,あみやき亭,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
275A,ハンワホームズ,PRO Market,2050,建設業,3,建設・資材,-,-
2760,東京エレクトロン　デバイス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2763,エフティグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2764,ひらまつ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2767,円谷フィールズホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
2768,双日,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
2769,ヴィレッジヴァンガードコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
276A,ククレブ・アドバイザーズ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
2776,新都ホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2778,パレモ・ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
277A,グロービング,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
2780,コメ兵ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2782,セリア,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2784,アルフレッサ　ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
2788,アップルインターナショナル,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2789,カルラ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
2790,ナフコ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2791,大黒天物産,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
2792,ハニーズホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
2795,日本プリメックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2796,ファーマライズホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2798,ワイズテーブルコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
279A,インターグ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
2801,キッコーマン,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
2802,味の素,プライム（内国株式）,3050,食料品,1,食品,2,TOPIX Large70
2804,ブルドックソース,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2805,ヱスビー食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2806,ユタカフーズ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2809,キユーピー,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
280A,ＴＭＨ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
2810,ハウス食品グループ本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
2811,カゴメ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
2813,和弘食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2814,佐藤食品工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2815,アリアケジャパン,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
2816,ダイショー,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2818,ピエトロ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2819,エバラ食品工業,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
281A,インフォメティス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
2820,やまみ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
282A,グローバルＸ　半導体・トップ１０－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2830,アヲハタ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2831,はごろもフーズ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2836,グローバルＸ　フィンテック－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2837,グローバルＸ　中小型リーダーズ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2838,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
2839,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
283A,グローバルＸ　ＵＳ　テック・配当貴族　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2840,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
2841,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
2842,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース,ETF・ETN,-,-,-,-,-,-
2843,上場インデックスファンド豪州国債（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
2844,上場インデックスファンド豪州国債（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
2845,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
2846,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
2847,グローバルＸ　新成長インフラ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2848,グローバルＸ　ＭＳＣＩ　気候変動対応－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2849,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　高配当　ＥＳＧ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
284A,フクヤ建設,PRO Market,2050,建設業,3,建設・資材,-,-
2850,ＮＥＸＴ　ＦＵＮＤＳ　ＳｏｌａｃｔｉｖｅジャパンＥＳＧコア指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
2851,ｉシェアーズ　ＭＳＣＩ　ジャパンＳＲＩ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2852,ｉシェアーズ　グリーンＪリート　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2853,ｉシェアーズ　気候リスク調整世界国債　ＥＴＦ（除く日本・為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
2854,グローバルＸ　テック・トップ２０－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2855,グローバルＸ　グリーン・Ｊ－ＲＥＩＴ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2856,ｉシェアーズ　米国債３－７年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
2857,ｉシェアーズ　ドイツ国債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
2858,グローバルＸ　日経２２５　カバード・コール　ＥＴＦ（プレミアム再投資型）,ETF・ETN,-,-,-,-,-,-
2859,ＮＥＸＴ　ＦＵＮＤＳ　ユーロ・ストックス５０指数（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
285A,キオクシアホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,7,TOPIX Small 2
2860,ＮＥＸＴ　ＦＵＮＤＳ　ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
2861,上場インデックスファンドフランス国債（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
2862,上場インデックスファンドフランス国債（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
2863,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ米国株式・債券バランス保守型指数（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
2864,グローバルＸ　ロジスティクス・ＲＥＩＴ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2865,グローバルＸ　ＮＡＳＤＡＱ１００・カバード・コール　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2866,グローバルＸ　米国優先証券　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2867,グローバルＸ　自動運転＆ＥＶ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2868,グローバルＸ　Ｓ＆Ｐ５００・カバード・コール　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
2869,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００レバレッジ,ETF・ETN,-,-,-,-,-,-
286A,ユカリア,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
2870,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００ダブルインバース,ETF・ETN,-,-,-,-,-,-
2871,ニチレイ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
2872,セイヒョー,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2874,横浜冷凍,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
2875,東洋水産,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
2876,デルソーレ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2877,日東ベスト,スタンダード（内国株式）,3050,食料品,1,食品,-,-
287A,黒田グループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
2882,イートアンドホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2883,大冷,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2884,ヨシムラ・フード・ホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
288A,ラクサス・テクノロジーズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
2892,日本食品化工,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2894,石井食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2897,日清食品ホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
2901,ウェルディッシュ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2903,シノブフーズ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2904,一正蒲鉾,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2907,あじかん,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2908,フジッコ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
2910,ロック・フィールド,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
2911,旭松食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2914,日本たばこ産業,プライム（内国株式）,3050,食料品,1,食品,1,TOPIX Core30
2915,ケンコーマヨネーズ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2916,仙波糖化工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2917,大森屋,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2918,わらべや日洋ホールディングス,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
291A,リスキル,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
2922,なとり,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2923,サトウ食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2924,イフジ産業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2926,篠崎屋,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2927,ＡＦＣ－ＨＤアムスライフサイエンス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2929,ファーマフーズ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
292A,エスアイイー,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
2930,北の達人コーポレーション,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
2931,ユーグレナ,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
2932,ＳＴＩフードホールディングス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
2933,紀文食品,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2934,ジェイフロンティア,グロース（内国株式）,3050,食料品,1,食品,-,-
2935,ピックルスホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
2936,ベースフード,グロース（内国株式）,3050,食料品,1,食品,-,-
2937,サンクゼール,グロース（内国株式）,3050,食料品,1,食品,-,-
2938,オカムラ食品工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
293A,ＢＡＢＹ　ＪＯＢ,PRO Market,6100,小売業,14,小売,-,-
294A,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩジャパン気候変動指数（セレクト）連動型上場投信,ETF・ETN,-,-,-,-,-,-
295A,Ｏｎｅ　ＥＴＦ　ＦＴＳＥ・サウジアラビア・インデックス,ETF・ETN,-,-,-,-,-,-
2961,日本調理機,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
2962,テクニスコ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
296A,令和アカウンティング・ホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
2970,グッドライフカンパニー,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
2971,エスコンジャパンリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
2972,サンケイリアルエステート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
2975,スター・マイカ・ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
2977,Ｌｉｖｅｎｕｐ　Ｇｒｏｕｐ,PRO Market,8050,不動産業,17,不動産,-,-
2978,ツクルバ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
2979,ＳＯＳｉＬＡ物流リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
297A,アルピコホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
2980,ＳＲＥホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
2981,ランディックス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
2982,ＡＤワークスグループ,プライム（内国株式）,8050,不動産業,17,不動産,-,-
2983,アールプランナー,グロース（内国株式）,8050,不動産業,17,不動産,-,-
2984,ヤマイチ・ユニハイムエステート,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
2985,ファーストステージ,PRO Market,8050,不動産業,17,不動産,-,-
2986,ＬＡホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
2989,東海道リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
298A,ＧＶＡ　ＴＥＣＨ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
2990,アイダ設計,PRO Market,8050,不動産業,17,不動産,-,-
2991,ランドネット,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
2992,アーバンライク,PRO Market,8050,不動産業,17,不動産,-,-
2993,長栄,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
2994,アンサーホールディングス,PRO Market,8050,不動産業,17,不動産,-,-
2995,ジェイレックス・コーポレーション,PRO Market,8050,不動産業,17,不動産,-,-
2997,ストレージ王,グロース（内国株式）,8050,不動産業,17,不動産,-,-
2998,クリアル,グロース（内国株式）,8050,不動産業,17,不動産,-,-
2999,ホームポジション,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
299A,ｄｅｌｙ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
3001,片倉工業,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
3002,グンゼ,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
3003,ヒューリック,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
3004,神栄,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
300A,ＭＩＣ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
3010,ポラリス・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
3011,バナーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
301A,インデックス,PRO Market,8050,不動産業,17,不動産,-,-
3020,アプライド,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3021,パシフィックネット,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
3023,ラサ商事,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
3024,クリエイト,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3028,アルペン,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
302A,ビースタイルホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
3030,ハブ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3031,ラクーンホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
3034,クオールホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3035,ケイティケイ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3036,アルコニックス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
3038,神戸物産,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
303A,ｖｉｓｕｍｏ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
3040,ソリトンシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
3041,ビューティカダンホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3042,セキュアヴェイル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
3045,カワサキ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3046,ジンズホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3048,ビックカメラ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
304A,フォルシア,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
3050,ＤＣＭホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3053,ペッパーフードサービス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3054,ハイパー,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
3058,三洋堂ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3059,ヒラキ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
305A,ダブルツリー,PRO Market,6100,小売業,14,小売,-,-
3063,ジェイグループホールディングス,グロース（内国株式）,6100,小売業,14,小売,-,-
3064,ＭｏｎｏｔａＲＯ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
3065,ライフフーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3067,東京一番フーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3068,ＷＤＩ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3069,ＪＦＬＡホールディングス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
3070,ジェリービーンズグループ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
3071,ストリーム,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3073,ＤＤグループ,プライム（内国株式）,6100,小売業,14,小売,-,-
3075,銚子丸,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3076,あい　ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
3077,ホリイフードサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3079,ディーブイエックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
307A,ハウジング・スタッフ,PRO Market,2050,建設業,3,建設・資材,-,-
3080,ジェーソン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3082,きちりホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3083,スターシーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3086,Ｊ．フロント　リテイリング,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
3087,ドトール・日レスホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3088,マツキヨココカラ＆カンパニー,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
3089,テクノアルファ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
308A,ぽすとめいとホールディングス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
3091,ブロンコビリー,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3092,ＺＯＺＯ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
3093,トレジャー・ファクトリー,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
3094,スーパーバリュー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3096,オーシャンシステム,スタンダード（内国株式）,6100,小売業,14,小売,-,-
3097,物語コーポレーション,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
3099,三越伊勢丹ホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
309A,コスモス調剤,PRO Market,6100,小売業,14,小売,-,-
3101,東洋紡,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
3103,ユニチカ,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
3104,富士紡ホールディングス,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
3105,日清紡ホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
3106,倉敷紡績,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
3107,ダイワボウホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
3109,シキボウ,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
310A,サーティーフォー,PRO Market,8050,不動産業,17,不動産,-,-
3110,日東紡績,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
3111,オーミケンシ,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
3113,ＵＮＩＶＡ・Ｏａｋホールディングス,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
3116,トヨタ紡織,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,4,TOPIX Mid400
311A,ＮＰＴ,PRO Market,3250,医薬品,5,医薬品,-,-
3121,マーチャント・バンカーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
